682,23.53,26.93,101.0,1.0,0.70,0.80,0.90,1.00,409.0,3.41,23.53,5.705,0.63,0.73,0.82,0.88
20,26.42,22.84,0.0,0.0,3.30,3.90,4.40,4.60,443.0,3.51,26.42,5.694,3.30,3.90,4.40,4.60
40,25.49,22.87,0.0,0.0,2.30,2.90,3.30,3.50,444.0,2.75,25.49,5.411,2.80,3.40,3.85,4.05
60,23.82,25.00,23.0,1.0,1.70,2.20,2.60,2.80,443.0,2.60,23.82,5.383,2.43,3.00,3.43,3.63
80,23.42,26.71,60.0,1.0,1.50,1.90,2.20,2.40,443.0,3.20,23.42,5.623,2.20,2.72,3.12,3.33
100,23.31,27.17,77.0,1.0,1.30,1.70,2.00,2.10,441.0,3.34,23.31,5.681,2.02,2.52,2.90,3.08
120,23.25,27.24,86.0,1.0,1.10,1.50,1.70,1.90,431.0,3.32,23.25,5.678,1.87,2.35,2.70,2.88
140,23.24,27.38,93.0,1.0,1.00,1.30,1.50,1.60,432.0,3.39,23.24,5.704,1.74,2.20,2.53,2.70
160,23.25,27.34,97.0,1.0,0.80,1.10,1.30,1.40,431.0,3.38,23.25,5.700,1.63,2.06,2.37,2.54
180,23.23,27.44,99.0,1.0,0.80,1.10,1.30,1.40,428.0,3.41,23.23,5.713,1.53,1.96,2.26,2.41
200,23.30,27.39,101.0,1.0,0.80,1.10,1.30,1.40,425.0,3.45,23.30,5.725,1.46,1.87,2.16,2.31
220,23.28,27.26,102.0,1.0,0.70,1.00,1.10,1.20,422.0,3.37,23.28,5.693,1.39,1.79,2.06,2.21
240,23.32,27.24,103.0,1.0,0.60,0.90,1.00,1.10,419.0,3.38,23.32,5.699,1.33,1.72,1.97,2.12
260,23.35,27.23,104.0,1.0,0.60,0.80,0.90,1.00,416.0,3.41,23.35,5.710,1.27,1.65,1.89,2.03
280,23.38,27.21,103.0,1.0,0.60,0.90,1.00,1.10,416.0,3.42,23.38,5.712,1.22,1.59,1.83,1.96
300,23.38,27.22,104.0,1.0,0.60,0.90,1.00,1.10,416.0,3.43,23.38,5.716,1.18,1.55,1.77,1.91
320,23.38,27.21,103.0,1.0,0.70,1.00,1.10,1.20,418.0,3.42,23.38,5.712,1.15,1.51,1.73,1.86
340,23.39,27.24,103.0,1.0,0.80,1.10,1.30,1.40,416.0,3.44,23.39,5.723,1.13,1.49,1.71,1.84
360,23.41,27.32,102.0,1.0,0.70,1.00,1.10,1.20,414.0,3.50,23.41,5.745,1.11,1.46,1.67,1.80
380,23.41,27.34,102.0,1.0,0.70,1.00,1.10,1.20,415.0,3.51,23.41,5.751,1.08,1.44,1.64,1.77
